dt,Celsius,State,AverageTemperature
19700112,1.963,Kansas,35.5334
19700112,4.372,Kentucky,39.8696
19700112,13.492,Louisiana,56.2856
19700112,10.337,Maine,50.6066
19700112,2.817,Maryland,37.0706
19700112,4.411,Massachusetts,39.9398
19700112,4.081,Michigan,39.3458
19700112,11.074,Minnesota,51.9332
19700112,10.724,Mississippi,51.3032
19700112,2.915,Missouri,37.247
19700112,7.811,Montana,46.0598
19700112,3.036,Nebraska,37.4648
19700112,1.876,Nevada,35.3768
19700112,7.98,New Hampshire,46.364
19700112,0.527,New Jersey,32.9486
19700112,3.16,New Mexico,37.688
19700112,4.943,New York,40.8974
19700112,6.876,North Carolina,44.3768
19700112,12.487,North Dakota,54.4766
19700112,0.986,Ohio,33.7748
19700112,6.709,Oklahoma,44.0762
19700112,0.939,Oregon,33.6902
19700112,0.715,Pennsylvania,33.287
19700112,1.561,Rhode Island,34.8098
19700112,9.601,South Carolina,49.2818
19700112,8.125,South Dakota,46.625
19700112,6.153,Tennessee,43.0754
19700112,11.892,Texas,53.4056
19700112,3.14,Utah,37.652
19700112,8.443,Vermont,47.1974
19700112,3.982,Virginia,39.1676
19700112,1.94,Washington,35.492
19700112,2.27,West Virginia,36.086
19700112,6.75,Wisconsin,44.15
19700112,6.288,Wyoming,43.3184
19710101,7.63,Alabama,45.734
19710101,27.057,Alaska,80.7026
19710101,4.966,Arizona,40.9388
19710101,4.422,Arkansas,39.9596
19710101,6.105,California,42.989
19710101,3.718,Colorado,38.6924
19710101,5.285,Connecticut,41.513
19710101,1.545,Delaware,34.781
19710101,2.444,District Of Columbia,36.3992
19710101,15.112,Florida,59.2016
19710101,8.317,Georgia ,46.9706
19710101,20.488,Hawaii,68.8784
19710101,4.718,Idaho,40.4924
19710101,5.393,Illinois,41.7074
19710101,4.692,Indiana,40.4456
19710101,10.213,Iowa,50.3834
19710101,2.471,Kansas,36.4478
19710101,0.373,Kentucky,32.6714
19710101,11.034,Louisiana,51.8612
19710101,13.03,Maine,55.454
19710101,1.526,Maryland,34.7468
19710101,8.056,Massachusetts,46.5008
19710101,9.036,Michigan,48.2648
19710101,16.977,Minnesota,62.5586
19710101,8.09,Mississippi,46.562
19710101,2.655,Missouri,36.779
19710101,9.853,Montana,49.7354
19710101,6.234,Nebraska,43.2212
19710101,0.028,Nevada,32.0504
19710101,11.542,New Hampshire,52.7756
19710101,3.665,New Jersey,38.597
19710101,1.486,New Mexico,34.6748
19710101,8.946,New York,48.1028
19710101,3.783,North Carolina,38.8094
19710101,17.523,North Dakota,63.5414
19710101,4.539,Ohio,40.1702
19710101,2.974,Oklahoma,37.3532
19710101,0.63,Oregon,33.134
19710101,5.448,Pennsylvania,41.8064
19710101,5.311,Rhode Island,41.5598
19710101,7.179,South Carolina,44.9222
19710101,11.704,South Dakota,53.0672
19710101,2.289,Tennessee,36.1202
19710101,9.562,Texas,49.2116
19710101,2.483,Utah,36.4694
19710101,11.956,Vermont,53.5208
19710101,0.156,Virginia,32.2808
19710101,0.847,Washington,33.5246
19710101,2.364,West Virginia,36.2552
19710101,13.173,Wisconsin,55.7114
19710101,5.843,Wyoming,42.5174
19710102,8.051,Alabama,46.4918
19710102,21.224,Alaska,70.2032
19710102,6.885,Arizona,44.393
19710102,5.872,Arkansas,42.5696
19710102,7.641,California,45.7538
19710102,3.046,Colorado,37.4828
19710102,1.408,Connecticut,34.5344
19710102,2.197,Delaware,35.9546
19710102,1.702,District Of Columbia,35.0636
19710102,16.184,Florida,61.1312
19710102,9.155,Georgia ,48.479
19710102,21.162,Hawaii,70.0916
19710102,3.111,Idaho,37.5998
19710102,1.363,Illinois,34.4534
19710102,1.185,Indiana,34.133
19710102,5.723,Iowa,42.3014
19710102,1.01,Kansas,33.818
19710102,1.871,Kentucky,35.3678
19710102,11.394,Louisiana,52.5092
